ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
216538,GAN,15234,35.7247,139.75,23.3534,2020-01-20,21:19,2020-01-20,12:19,2,,,clear,Orion,,,Japan
216539,GAN,15235,35.7247,139.75,23.3534,2020-01-20,21:19,2020-01-20,12:19,2,,,clear,Orion,,,Japan
216540,GAN,15236,35.589,139.591,35.085,2020-01-20,21:23,2020-01-20,12:23,2,,,clear,Orion,,,Japan
216542,GAN,15238,33.5305,133.825,116.505,2020-01-20,21:35,2020-01-20,12:35,6,,,clear,Orion,,,Japan
216543,GAN,15241,35.7096,139.717,20.6278,2020-01-20,21:48,2020-01-20,12:48,-9999,,,clear,Taurus,,,Japan
216544,GAN,15242,35.7753,139.685,13.8612,2020-01-20,21:06,2020-01-20,12:06,3,,,clear,Orion,"No clouds , stars can be see clearly",Buildings everywhere,Japan
216545,GAN,15243,35.6396,139.927,2.6389,2020-01-20,22:04,2020-01-20,13:04,2,,,clear,Orion,,,Japan
216546,GAN,15244,35.8755,139.437,48.4977,2020-01-20,22:06,2020-01-20,13:06,3,,,clear,Orion,,,Japan
216547,GAN,15245,35.8338,139.841,4.46046,2020-01-20,22:12,2020-01-20,13:12,2,,,clear,Orion,,,Japan
216548,GAN,15246,35.7799,139.681,5.49841,2020-01-20,22:31,2020-01-20,13:31,2,,,clear,Orion,,,Japan
216549,GAN,15247,35.7844,139.677,4.74083,2020-01-20,22:31,2020-01-20,13:31,1,,,clear,Perseus,,,Japan
216550,GAN,15248,35.7459,139.739,25.5129,2020-01-20,22:34,2020-01-20,13:34,2,,,clear,Orion,,,Japan
216551,GAN,15249,33.5587,133.705,17.2344,2020-01-20,22:49,2020-01-20,13:49,3,,,clear,Orion,,,Japan
216552,GAN,15250,36.2048,138.253,996.77,2020-01-20,22:50,2020-01-20,13:50,3,,,clear,Perseus,,,Japan
216553,GAN,15251,36.1011,137.975,740.922,2020-01-20,20:10,2020-01-20,11:10,4,,,clear,Orion,,,Japan
216554,GAN,15252,35.7382,139.733,25.5673,2020-01-20,23:15,2020-01-20,14:15,3,,,1/2 of sky,Perseus,,,Japan
216555,GAN,15253,35.7642,139.703,29.4025,2020-01-20,21:29,2020-01-20,12:29,1,,,clear,Taurus,,,Japan
216556,GAN,15254,35.3184,139.366,6.27314,2020-01-20,23:16,2020-01-20,14:16,3,,,clear,Orion,,,Japan
216557,GAN,15255,35.7167,140.105,26.3478,2020-01-20,23:16,2020-01-20,14:16,3,,,clear,Perseus,,,Japan
216558,GAN,15256,35.7648,139.704,31.8379,2020-01-20,22:17,2020-01-20,13:17,2,,,clear,Taurus,,,Japan
216559,GAN,15258,35.7394,139.74,25.0137,2020-01-20,23:15,2020-01-20,14:15,3,,,clear,Taurus,,,Japan
216560,GAN,15259,35.9269,139.444,23.6793,2020-01-20,23:20,2020-01-20,14:20,2,,,clear,Orion,,,Japan
216561,GAN,15260,35.7833,139.685,5.49479,2020-01-20,23:18,2020-01-20,14:18,2,,,1/4 of sky,Taurus,,,Japan
216562,GAN,15261,35.7649,139.93,19.7189,2020-01-20,23:22,2020-01-20,14:22,2,,,clear,Orion,,,Japan
216563,GAN,15262,35.8741,140.005,17.9612,2020-01-20,23:31,2020-01-20,14:31,2,,,clear,Orion,,,Japan
